Text:  THERE'S ALWAYS GOING TO BE THAT NEXT STEP EVEN AFTER YOU SUCCEED NOW YOU HAVE DONE IT SO NOW THERE'S A NEW GOAL THAT YOU NEED TO GO AFTER AND WHEN I WAS THE FIRST WOMAN TO COMPLETE THE AMERICAN NINJA WARRIOR COURSE I WAS ON TOP OF THE WORLD BUT THAT ISN'T THE END OF IT I EARNED MY SPOT TO THE FINALS GOT TO THAT FINAL COMPETITION I WAS EXCITED FOCUSED I FELT READY AND THEN I GOT TO THIS OBSTACLE CALLED THE SPIDER JUMP NOW IF YOU CAN PICTURE A DOOR FRAME AND HOW THAT WOULD BE TRYING TO WEDGE YOURSELF IN BETWEEN THERE WITH YOUR HANDS ON ONE SIDE FEET ON ONE SIDE AND YOU HAVE TO JUMP ON THIS MINI TRAMP OVER THIS WATER PROP YOURSELF IN THERE I DID IT I WEDGED MY FEET IN THERE I THREW MY ARMS OUT LIKE OK I 
Conf:  1

WORD START END ASDSCORE
THERE'S 0.09 0.38 2.7
ALWAYS 0.40 0.82 6.4
GOING 0.82 1.14 5.6
TO 1.14 1.25 4.9
BE 1.25 1.36 6.2
THAT 1.36 1.55 9.6
NEXT 1.55 1.82 12.7
STEP 1.82 2.17 12.8
EVEN 2.79 3.01 5.9
AFTER 3.01 3.23 7.0
YOU 3.23 3.35 5.1
SUCCEED 3.35 4.06 4.9
NOW 4.56 4.75 3.3
YOU 4.75 4.81 4.7
HAVE 4.81 4.95 4.7
DONE 4.95 5.16 3.5
IT 5.16 5.29 2.8
SO 5.29 5.36 3.8
NOW 5.36 5.42 3.9
THERE'S 5.42 5.61 3.8
A 5.61 5.65 3.4
NEW 5.65 5.92 3.5
GOAL 5.92 6.16 3.9
THAT 6.16 6.30 5.9
YOU 6.30 6.40 6.9
NEED 6.40 6.56 6.1
TO 6.56 6.67 5.6
GO 6.67 6.86 5.9
AFTER 6.86 7.31 7.6
AND 8.13 8.35 2.8
WHEN 8.65 8.80 4.6
I 8.80 8.90 7.7
WAS 8.90 9.03 10.1
THE 9.03 9.10 10.1
FIRST 9.10 9.41 6.8
WOMAN 9.41 9.66 5.3
TO 9.66 9.77 5.6
COMPLETE 9.77 10.14 7.3
THE 10.14 10.22 7.0
AMERICAN 10.22 10.63 4.9
NINJA 10.63 10.86 3.9
WARRIOR 10.86 11.15 3.5
COURSE 11.15 11.44 2.9
I 11.44 11.51 3.8
WAS 11.51 11.64 3.8
ON 11.64 11.77 3.2
TOP 11.77 11.98 5.1
OF 11.98 12.10 6.4
THE 12.10 12.18 7.6
WORLD 12.18 12.65 7.1
BUT 13.40 13.59 3.3
THAT 13.59 13.74 7.0
ISN'T 13.74 13.92 7.9
THE 13.92 14.04 7.7
END 14.04 14.20 6.0
OF 14.20 14.28 3.5
IT 14.28 14.47 2.6
I 14.91 15.18 5.4
EARNED 15.18 15.39 7.6
MY 15.39 15.52 8.3
SPOT 15.52 15.84 10.6
TO 15.84 15.93 11.1
THE 15.93 16.00 10.5
FINALS 16.00 16.63 8.2
GOT 17.06 17.27 4.5
TO 17.27 17.35 9.0
THAT 17.35 17.53 10.2
FINAL 17.53 17.81 9.0
