id,text,start,end
mSjqjC5OcjM/00004_0,AN EYE THAT WE DIDN'T KNOW THAT WE HAD TO A BANDWIDTH OF BRILLIANCE WE WERE BLIND TO TUNE IN AND THE MIRACULOUS CAN NOT HELP BUT FIND YOU AND YOU'D NEVER BELIEVE IT UNTIL IT HITS YOU TIME TO SWAN DIVE IN A TECHNICOLOR INFINITY CLOSE YOUR EYES AND SUBMERGE INTO THE REAL,0.000,-1.000
mSjqjC5OcjM/00003,MAY NOT SEE HIM UN BEAT HIS WIFE BUT YOU STILL GOTTA BELIEVE THAT IT MATTERS BECAUSE IT DOES EVERY SMILE EVERY,0.000,-1.000
mSjqjC5OcjM/00002_0,TIME THEY SAY,0.000,1.315
mSjqjC5OcjM/00002_1,SOME WOULD ARGUE YEAH JUST TWO STEPS BEHIND THE BUCKSHOT,1.315,4.975
mSjqjC5OcjM/00002_2,SARCASM STUMBLING FROM THE RIGHTFUL BARREL OF A SKEPTIC'S MOUTH THE HAND OF TRAGEDY STROKING THEIR EGO THEY ASK HOW CAN YOU HAVE FAITH IN THE INVISIBLE,4.975,15.645
mSjqjC5OcjM/00002_3,AS IF WE DON'T RELY ON THINGS UNSEEN EVERY DAY SHOW ME THE COLOR OF YOUR WI FI SIGNAL THE RADIO WAVE THAT DANCE SONGS THROUGH YOUR FLESH LEAVING NO EXIT WOUND THE REPULSIVE CHARGE IN YOUR SKIN'S ELECTRONS IS THE REASON WHY YOU'VE NEVER ACTUALLY TOUCHED ANYTHING IN YOUR LIFE SO,15.645,-1.000
mSjqjC5OcjM/00001_0,BREATH,0.000,0.725
mSjqjC5OcjM/00001_1,WAS SUN CHARGED COLORADO OXYGEN JUST 55 DAYS AFTER MINE WAS,0.725,6.200
mSjqjC5OcjM/00001_2,HER LAST,6.200,7.430
mSjqjC5OcjM/00001_3,A CHOKING EXHALE FACING AT THE ROCKIES,7.430,10.430
mSjqjC5OcjM/00001_4,BUT RACHEL'S DIARIES,10.430,12.485
mSjqjC5OcjM/00001_5,WILL ONE DAY DWARF THAT HORIZON,12.485,14.870
mSjqjC5OcjM/00001_6,PEOPLE ASK ME,14.870,-1.000
SNzyG5RzZyY/00004_0,NUMBER FOUR,0.000,1.515
SNzyG5RzZyY/00004_1,VISUALISATION,1.515,3.615
SNzyG5RzZyY/00004_2,THIS MENTALITY CAN BE NEGATIVE OR POSITIVE SO IT'S IMPORTANT TO EXERCISE CAUTION,3.615,10.660
SNzyG5RzZyY/00004_3,I DEFINITELY VISUALIZE POINTS,10.660,13.740
SNzyG5RzZyY/00004_4,IN WHETHER I SEE MYSELF ACING IT IN OR SERVING IT OUT MATTERS,13.740,19.025
SNzyG5RzZyY/00004_5,WHEN I VISUALIZE MY MIND IS MAKING A PREDICTION THAT MY MUSCLES BEGIN TO MAKE HAPPEN,19.025,25.320
SNzyG5RzZyY/00004_6,MY COACH REITERATES THIS TO US MORE THAN SHE TELLS US OUR NAMES,25.320,29.800
SNzyG5RzZyY/00004_7,BUT THE WHOLE TIME WE'RE THINKING HER METHODS ARE UNORTHODOX,29.800,33.940
SNzyG5RzZyY/00004_8,WE'RE FORGETTING THAT SHE'S MAKING US BETTER AND EARNING US POINTS,33.940,38.440
SNzyG5RzZyY/00004_9,I DO BELIEVE THAT IN SPORTS YOUR MENTALITY IS JUST AS IMPORTANT AS YOUR SKILL SET,38.440,43.940
SNzyG5RzZyY/00004_10,SO NEXT TIME YOU'RE ON THE COURT,43.940,47.070
SNzyG5RzZyY/00004_11,THE FIELD,47.070,48.245
SNzyG5RzZyY/00004_12,AND THERE ARE SEVERAL EYES WATCHING YOU AS THE BALL HURDLES TOWARDS YOU,48.245,52.630
SNzyG5RzZyY/00004_13,CHOOSE YOUR MENTALITY IT,52.630,54.525
SNzyG5RzZyY/00004_14,WILL MAKE A DIFFERENCE BECAUSE WHEN YOU ADJUST YOUR MIND YOU ADJUST TO SUCCEED,54.525,59.835
SNzyG5RzZyY/00004_15,THANK,59.835,-1.000
SNzyG5RzZyY/00003_0,THIS COULD HAPPEN A LOT WHEN YOU'RE PLAYING AN OPPONENT WHO YOU BELIEVE TO BE BETTER THAN YOU,0.000,4.475
SNzyG5RzZyY/00003_1,IN REALITY YOU AREN'T WORSE THAN THEM BUT BY HAVING THAT MENTALITY,4.475,9.415
SNzyG5RzZyY/00003_2,YOU MAKE YOURSELF WORSE,9.415,12.065
SNzyG5RzZyY/00003_3,NUMBER THREE,12.065,13.890
SNzyG5RzZyY/00003_4,DWELLING,13.890,15.340
SNzyG5RzZyY/00003_5,THE ACTIVE LINGERING ON EVENTS OF THE PAST,15.340,19.425
SNzyG5RzZyY/00003_6,MY TEAM DOES THIS,19.425,22.035
SNzyG5RzZyY/00003_7,A LOT,22.035,23.250
SNzyG5RzZyY/00003_8,AND WHEN I SAY A LOT I MEAN EVERY SINGLE POINT,23.250,-1.000
SNzyG5RzZyY/00002_0,BUT AS THE NEXT SET ROLLED AROUND WE FOUND OURSELVES LETTING UP,0.000,5.305
SNzyG5RzZyY/00002_1,WE WEREN'T TRYING AS HARD BECAUSE WE DIDN'T THINK WE HAD TO,5.305,9.600
SNzyG5RzZyY/00002_2,WELL WE WERE WRONG CAN YOU GUESS WHAT HAPPENED NEXT,9.600,14.320
SNzyG5RzZyY/00002_3,WE LOST,14.320,15.925
SNzyG5RzZyY/00002_4,BAD,15.925,17.295
SNzyG5RzZyY/00002_5,OUR COACH SOON INFORMED US THAT WE CHOSE TO BE COCKY OVER CONFIDENT WHICH WE NOW KNOW ARE TWO VERY DIFFERENT THINGS,17.295,26.275
SNzyG5RzZyY/00002_6,NUMBER TWO,26.275,27.740
SNzyG5RzZyY/00002_7,DOUBTING YOURSELF,27.740,29.815
SNzyG5RzZyY/00002_8,IN MY MIND THIS IS THE WORST MENTALITY YOU COULD HAVE,29.815,34.090
SNzyG5RzZyY/00002_9,BECAUSE AT LEAST WHEN YOU'RE BEING COCKY YOU HAVE SOME BELIEF IN YOURSELF,34.090,-1.000
SNzyG5RzZyY/00001_0,BUT NERVES START TO OVERWHELM YOU,0.000,3.510
SNzyG5RzZyY/00001_1,YOU OVERTHINK IT,3.510,5.670
SNzyG5RzZyY/00001_2,BEFORE YOU KNOW IT THE BALL IS OUT OF BOUNCE,5.670,9.950
SNzyG5RzZyY/00001_3,IN THE NET,9.950,11.575
SNzyG5RzZyY/00001_4,DROPS,11.575,13.835
SNzyG5RzZyY/00001_5,IN SPORTS YOUR MENTALITY IS JUST AS IMPORTANT AS YOUR SKILL SET,13.835,19.550
SNzyG5RzZyY/00001_6,YOUR BRAIN INFLUENCES ALL YOUR DECISIONS GOOD AND BAD,19.550,23.785
SNzyG5RzZyY/00001_7,THIS DOESN'T END IN SPORTS,23.785,26.225
SNzyG5RzZyY/00001_8,HERE ARE A FEW SITUATIONS WHERE THIS APPEARS PREVALENT,26.225,30.220
SNzyG5RzZyY/00001_9,NUMBER ONE WHEN YOU GET COCKY,30.220,-1.000
mSvyBpWueu4/00018,DAD I NEED HELP CAN YOU SUPPORT ME TO GO TO AMERICA I PROMISED HIM THAT I WOULD BE THE BEST GIRL I WILL COME BACK ANYTHING THEY WANTED AFTER THAT I WILL DO IT FOR THEM HE SAID WELL BUT I CAN'T DO IT ALONE HE GAVE ME A,0.000,-1.000
mSvyBpWueu4/00030,YOU ARE SOMEBODY WHO IS SO PASSIONATE YOU ARE SOMEBODY WHO WANTS TO SEE A BETTER,0.000,-1.000
mSvyBpWueu4/00024,FROM MY VILLAGE WHO HAVE BEEN OUT AND THEY HAVE GOTTEN AN EDUCATION WHY CAN'T THEY BUILD A SCHOOL FOR BOYS AND I'LL BUILD A SCHOOL FOR,0.000,-1.000
mSvyBpWueu4/00025,THEM TO SHOW ME A SIGN OF COMMITMENT AND THEY DID THEY DONATED LAND WHERE WE BUILT THE GIRLS' SCHOOL WE HAVE I WANT YOU TO MEET ONE OF THE GIRLS IN THAT SCHOOL,0.000,-1.000
mSvyBpWueu4/00031,WHO WANTS TO MAKE OUR TOMORROW BETTER I WANT TO CHALLENGE YOU TODAY THAT,0.000,-1.000
mSvyBpWueu4/00019,ALL CAME TOGETHER THE VILLAGE THE WOMEN THE MEN EVERYBODY CAME TOGETHER TO SUPPORT ME TO COME TO GET AN EDUCATION I ARRIVED IN AMERICA AS YOU CAN IMAGINE WHAT DID I FIND,0.000,-1.000
mSvyBpWueu4/00027,DAWN IS HAPPENING IN MY SCHOOL A NEW BEGINNING IS HAPPENING,0.000,-1.000
